Link,Title,Location,Salary,Summary
https://kr.indeed.com/jobs?q=37124c78f418fcf1,Design Verification Engineer (Korea),서울,,"System Verilog, OO programming. Verilog , C/C++, Tcl/Perl/ python/shell-scripting Experience with OVM/UVM methodology. Strong..."
https://kr.indeed.com/jobs?q=90ad95e46ab20a37,Network Engineer,서울 중구,,Cloud Network 관련 1년 이상- 학력/전공 : 무관이런 경험이 있다면더욱 좋습니다.우대사항- Python/Shell script 활용 가능자- Cloud 및 Network 관련 자격증 보유자 인터넷·IT·통신·모바...
https://kr.indeed.com/jobs?q=f6c0e5637d387cd7,소프트웨어 CTO포지션 [상장예정 스마트 테마파크 스타트업],서울 강남구,,"Our current major tech stack: • Java, Spring Boot, Nodejs, Python... our backend... major language for backends..."
https://kr.indeed.com/jobs?q=fb4e5cc04575215b,Research Scientist(Computer Vision),서울 강남구,,Inequality - Let’s Riiid. 인터넷·IT·통신·모바일·게임>응용프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
https://kr.indeed.com/jobs?q=3c2bf0ec25a85c9f,"Senior Analyst - Data Science, Marketing & Sales",서울,,mathematics) 4+ years of experience working with SQL and Python or R programming Ability to manage and query large databases...
https://kr.indeed.com/jobs?q=ec5c7ccd76639120,[외국계 스타트업 미소] Data Analyst,서울,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일·게임>데이터베이스...
https://kr.indeed.com/jobs?q=6d389529bece608b,자동차 전장 Security 분야 전문가,서울 강서구,,식에 대한 이해 - Linux 사용 경험 보유 (1년 이상) - Shell Scripting 제작 또는 Python Programming 경험 2. 우대사항 - SDL (Security Development Lifecycle...
https://kr.indeed.com/jobs?q=6a8ea2bf3ecb6973,Technical Solutions Engineer,서울,,"one or more of JavaScript (Node.JS), Python, or Java Working knowledge of GitHub... JavaScript (Node.JS), Python, Java 중 최소..."
https://kr.indeed.com/jobs?q=9d966c68f91065ee,KAIST 휴머노이드로봇연구센터 위촉연구원 모집 공고,대전 유성구,,"개발자 (Robot Software Engineer) 1. 로봇 경로 계획 알고리즘 개발 2. Linux, Python/C++ 프로그래밍 개발 3. 로봇 학습 기반 제어 알고리즘 개발 ※ 자세한 직무수행 내용은 직무기술서..."
https://kr.indeed.com/jobs?q=77f04d25d1e4bc3c,Cross Border Ecommerce - Business Intelligence,서울,,business analyst related roles Proficient in SQL and Python Strong analytical skill and sensitivity to data Strong oral...
https://kr.indeed.com/jobs?q=77f36f436c732078,[AWS] Application Developer,서울,,"experience (e.g. Java, Python, C++, Scala... 너와 서버리스 기술 경험 · 프로그래밍 언어 경험 (예 : Java, Python, C ++, Scala, Go, Ruby 등) · 애플리케이션 개발..."
https://kr.indeed.com/jobs?q=a692f83229bd339f,Datacenter Engineer,서울,,"Base Operating System Install • Some experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp, nfs..."
https://kr.indeed.com/jobs?q=d7527395199fd664,Consulting Engineer (Full Time) - Korea,서울,,"experience in Linux and programming languages like Python, Java , JavaScript etc. • Strong communication and collaboration..."
https://kr.indeed.com/jobs?q=705f1a36a7fafed3,은행 정보계 DW 시스템 담당자,서울 중학동,,MySQL 등) 대용량 쿼리 개발/튜닝 경험을 보유하신 분 - SW 개발 능력을 보유하신 분(Java/ Python 등) 우대사항 - 은행 정보계 시스템(DW/규제/회계/리스크) 운영 경험을 보유하신 분 - 시각화/분석...
https://kr.indeed.com/jobs?q=dc74730c92ce5050,Data Scientist,서울 영등포구,,"기반 예측, 모델링 프로젝트 경험자 데이터 분석/모델링을 위한 언어 및 프레임워크 사용에 익숙하신 분 ( Python, R, SQL, Pandas, TensorFlow, Pytorch, Spark 등) 회사 내부 구성원들과..."
